text,label
"Wall Street stocks rose today after the Federal Reserve announced new measures to support the economy.","business"
"Apple releases new iPhone model with advanced camera system.","sci_tech"
"Liverpool wins Premier League title after historic season.","sports"
"UN security council meets to discuss escalating conflict in the Middle East.","world"
"NASA prepares new mission to explore Mars atmosphere.","sci_tech"
"Google announces major updates to its cloud computing services.","business"
"Real Madrid secures a 2-0 victory against Barcelona.","sports"
"Global leaders gather to address climate change challenges.","world"
"Tesla reveals breakthrough in battery technology.","sci_tech"
"Japan's stock market hits highest point in 30 years.","business"
"France wins the World Cup after intense final match.","sports"
"WHO reports new variant spreading in multiple countries.","world"
"New startup raises $50 million to disrupt the fintech industry.","business"
"Research team discovers new exoplanet in distant galaxy.","sci_tech"
"Star player suffers injury ahead of crucial match.","sports"
"Prime minister announces early national elections.","world"
"Tech conference showcases latest advances in artificial intelligence.","sci_tech"
"Oil prices fall amid concerns over global demand.","business"
"National team qualifies for the Olympic Games.","sports"
"Peace talks resume between neighboring countries after months of tension.","world"
